name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
hyperscan/literal-russian-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,613423,238661,4.67s,12.41us,50.00ns,12.52us,778.00ns,12.25us,61.79us
hyperscan/literal-casei-russian-nosom,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,613423,60916,4.56s,49.13us,190.00ns,49.19us,632.00ns,48.44us,62.88us
hyperscan/literal-casei-russian-nosom,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,613423,60269,4.56s,49.52us,230.00ns,49.72us,1.10us,48.67us,70.99us
hyperscan/literal-casei-russian-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,613423,58922,4.56s,50.68us,640.00ns,50.86us,2.71us,48.04us,124.29us
hyperscan/literal-casei-russian-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,613423,59462,4.56s,49.99us,420.00ns,50.40us,2.56us,48.36us,93.90us
hyperscan/literal-suffix-nosom,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,594933,67213,4.56s,44.37us,100.00ns,44.57us,1.15us,43.57us,59.24us
hyperscan/literal-suffix-nosom,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,594933,68807,4.56s,43.34us,451.00ns,43.54us,2.02us,41.96us,76.90us
hyperscan/literal-suffix-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,594933,71016,4.57s,41.93us,170.00ns,42.19us,2.03us,40.93us,97.90us
hyperscan/literal-suffix-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,594933,70003,4.56s,42.53us,209.00ns,42.80us,2.56us,42.02us,153.81us
hyperscan/literal-inner-nosom,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,594933,76058,4.56s,39.30us,280.00ns,39.39us,837.00ns,38.05us,78.08us
hyperscan/literal-inner-nosom,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,594933,77916,4.56s,38.21us,110.00ns,38.45us,2.47us,37.40us,145.85us
hyperscan/literal-inner-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,594933,79178,4.56s,37.69us,260.00ns,37.83us,833.00ns,36.92us,76.07us
hyperscan/literal-inner-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,594933,75501,4.56s,39.57us,109.00ns,39.68us,656.00ns,39.00us,77.53us
hyperscan/fixed-length-words-nosom,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,594933,4036,4.51s,743.84us,4.70us,743.34us,6.70us,732.98us,829.84us
hyperscan/fixed-length-words-nosom,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,594933,4063,4.51s,737.17us,3.19us,738.42us,4.31us,733.39us,754.28us
hyperscan/fixed-length-words-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,594933,4032,4.51s,742.79us,2.91us,744.07us,4.59us,738.70us,774.58us
hyperscan/fixed-length-words-som,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,594933,4027,4.51s,744.36us,3.46us,745.06us,4.60us,739.32us,763.95us
hyperscan/fixed-length-words-unicode-nosom,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,594933,3891,4.56s,769.28us,2.09us,771.01us,4.22us,766.33us,785.50us
hyperscan/fixed-length-words-unicode-nosom,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,594933,3982,4.56s,752.55us,2.73us,753.45us,4.18us,746.75us,772.70us
imported/leipzig/twain,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,10204,4.56s,292.36us,2.54us,293.95us,11.25us,283.00us,733.56us
imported/leipzig/twain,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,8434,4.56s,354.61us,1.32us,355.68us,3.89us,350.83us,406.83us
imported/leipzig/twain-insensitive,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,3191,4.56s,940.41us,3.11us,940.21us,7.79us,921.73us,1.02ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,3182,4.56s,941.96us,9.36us,943.00us,39.07us,921.10us,2.09ms
imported/leipzig/shing,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,4802,4.56s,624.18us,5.59us,624.79us,8.72us,608.70us,721.74us
imported/leipzig/shing,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,4702,4.56s,637.26us,3.91us,637.99us,5.58us,627.79us,692.51us
imported/leipzig/huck-saw,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,4397,4.56s,682.50us,4.96us,682.35us,9.08us,669.59us,733.43us
imported/leipzig/huck-saw,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,4444,4.56s,673.14us,4.70us,675.01us,11.28us,666.41us,0.97ms
imported/leipzig/word-ending-nn,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,7444,4.56s,402.49us,4.16us,402.98us,6.90us,384.53us,545.27us
imported/leipzig/word-ending-nn,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,7186,4.56s,414.82us,4.63us,417.43us,6.89us,407.85us,466.50us
imported/leipzig/certain-long-strings-ending-x,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,897,4.56s,3.34ms,5.15us,3.34ms,11.32us,3.32ms,3.41ms
imported/leipzig/certain-long-strings-ending-x,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,892,4.56s,3.36ms,6.07us,3.36ms,20.51us,3.34ms,3.50ms
imported/leipzig/tom-sawyer-huckle-finn,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,4068,4.56s,734.39us,8.84us,737.51us,12.89us,722.48us,889.05us
imported/leipzig/tom-sawyer-huckle-finn,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,3962,4.56s,756.41us,3.44us,757.14us,8.79us,747.82us,907.34us
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,215,4.56s,13.99ms,28.63us,13.99ms,39.78us,13.89ms,14.11ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,204,4.56s,14.77ms,25.22us,14.77ms,35.08us,14.69ms,14.89ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,3526,4.56s,849.49us,6.79us,850.78us,29.11us,835.99us,1.88ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,3582,4.56s,831.50us,12.29us,837.60us,32.25us,817.92us,1.89ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,3358,4.56s,892.99us,5.02us,893.37us,8.81us,881.44us,1.02ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,3441,4.56s,870.54us,2.40us,871.99us,5.12us,862.98us,919.48us
imported/leipzig/tom-river,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,3168,4.56s,944.60us,3.34us,947.04us,16.09us,938.39us,1.32ms
imported/leipzig/tom-river,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,3236,4.56s,925.20us,2.55us,927.11us,5.89us,921.48us,0.98ms
imported/leipzig/ing,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,503,4.56s,5.97ms,12.57us,5.97ms,26.70us,5.93ms,6.07ms
imported/leipzig/ing,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,504,4.56s,5.95ms,14.69us,5.96ms,22.95us,5.91ms,6.03ms
imported/leipzig/ing-whitespace,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,506,4.56s,5.93ms,10.23us,5.93ms,16.88us,5.90ms,5.99ms
imported/leipzig/ing-whitespace,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,515,4.56s,5.82ms,14.89us,5.83ms,20.42us,5.78ms,5.90ms
imported/leipzig/awyer-inn,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,3297,4.56s,911.59us,13.24us,910.02us,21.04us,882.26us,1.05ms
imported/leipzig/awyer-inn,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,3254,4.56s,921.06us,2.62us,921.91us,4.99us,911.69us,0.97ms
imported/leipzig/quotes-bounded,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,780,4.56s,3.85ms,7.38us,3.85ms,10.89us,3.83ms,3.89ms
imported/leipzig/quotes-bounded,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,789,4.56s,3.80ms,16.40us,3.80ms,28.19us,3.76ms,3.99ms
imported/leipzig/non-ascii-alternate,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,4548,4.56s,658.79us,2.58us,659.62us,5.29us,649.63us,786.39us
imported/leipzig/non-ascii-alternate,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,4628,4.56s,647.57us,2.95us,648.19us,11.21us,628.69us,1.07ms
imported/leipzig/math-symbols,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,151,4.56s,19.98ms,69.53us,19.99ms,96.69us,19.88ms,20.30ms
imported/leipzig/math-symbols,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,146,4.56s,20.58ms,28.12us,20.61ms,112.48us,20.53ms,20.98ms
imported/leipzig/bounded-strings-ending-z,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,16013977,13437,4.56s,221.87us,710.00ns,223.21us,5.63us,217.14us,317.05us
imported/leipzig/bounded-strings-ending-z,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,16013977,14094,4.52s,212.49us,90.00ns,212.81us,2.21us,211.25us,266.43us
imported/lh3lh3-reb/uri,grep,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,39887114,149,4.56s,20.15ms,23.31us,20.16ms,44.03us,20.09ms,20.31ms
imported/lh3lh3-reb/uri,grep,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,39887114,150,4.56s,20.06ms,110.37us,20.06ms,124.39us,19.87ms,20.36ms
imported/lh3lh3-reb/email,grep,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,39887114,168,4.56s,17.93ms,23.20us,17.93ms,33.87us,17.85ms,18.02ms
imported/lh3lh3-reb/email,grep,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,39887114,164,4.56s,18.32ms,11.18us,18.32ms,16.03us,18.27ms,18.36ms
imported/lh3lh3-reb/date,grep,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,39887114,133,4.56s,22.69ms,50.08us,22.71ms,83.53us,22.56ms,23.01ms
imported/lh3lh3-reb/date,grep,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,39887114,129,4.56s,23.28ms,11.96us,23.28ms,23.30us,23.24ms,23.42ms
imported/lh3lh3-reb/uri-or-email,grep,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,39887114,52,4.62s,58.52ms,83.44us,58.47ms,182.87us,58.01ms,58.79ms
imported/lh3lh3-reb/uri-or-email,grep,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,39887114,52,4.61s,58.40ms,95.45us,58.44ms,162.72us,58.19ms,58.91ms
imported/mariomka/email,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,6839410,21718,4.56s,137.90us,830.00ns,138.08us,3.76us,128.49us,192.88us
imported/mariomka/email,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,6839410,21853,4.56s,137.74us,760.00ns,137.23us,2.56us,132.15us,186.22us
imported/mariomka/uri,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,6839410,3622,4.56s,818.76us,5.31us,828.31us,35.71us,803.21us,1.42ms
imported/mariomka/uri,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,6839410,3788,4.51s,789.30us,4.18us,792.03us,20.18us,778.02us,1.32ms
imported/mariomka/ip,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,6839410,1362,4.51s,2.20ms,6.67us,2.20ms,9.46us,2.18ms,2.26ms
imported/mariomka/ip,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,6839410,1342,4.51s,2.24ms,6.87us,2.24ms,10.75us,2.22ms,2.44ms
imported/regex-redux/regex-redux,regex-redux,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,194,4.56s,15.49ms,62.97us,15.51ms,127.85us,15.33ms,16.19ms
imported/regex-redux/regex-redux,regex-redux,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,193,4.56s,15.58ms,58.02us,15.61ms,109.64us,15.41ms,15.99ms
imported/rsc/no-exponential,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,25,1000000,614.89ms,60.00ns,0.00ns,61.00ns,10.00ns,50.00ns,3.18us
imported/rsc/no-exponential,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,25,1000000,602.72ms,60.00ns,0.00ns,61.00ns,10.00ns,50.00ns,3.67us
imported/rsc/literal,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,51,1000000,552.78ms,30.00ns,0.00ns,33.00ns,176.00ns,30.00ns,101.90us
imported/rsc/literal,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,51,1000000,561.01ms,30.00ns,0.00ns,33.00ns,145.00ns,30.00ns,103.62us
imported/rsc/not-literal,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,51,1000000,653.43ms,70.00ns,0.00ns,67.00ns,18.00ns,60.00ns,5.65us
imported/rsc/not-literal,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,51,1000000,653.24ms,70.00ns,0.00ns,67.00ns,15.00ns,60.00ns,8.78us
imported/rsc/match-class,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,81,1000000,613.60ms,50.00ns,0.00ns,46.00ns,12.00ns,40.00ns,3.48us
imported/rsc/match-class,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,81,1000000,614.17ms,50.00ns,0.00ns,46.00ns,11.00ns,40.00ns,2.96us
imported/rsc/match-class-in-range,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,81,1000000,585.92ms,30.00ns,0.00ns,35.00ns,10.00ns,30.00ns,4.89us
imported/rsc/match-class-in-range,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,81,1000000,604.29ms,30.00ns,0.00ns,34.00ns,17.00ns,30.00ns,13.97us
imported/rsc/match-class-unicode,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,161,1000000,1.00s,250.00ns,0.00ns,250.00ns,16.00ns,240.00ns,3.48us
imported/rsc/match-class-unicode,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,161,1000000,0.99s,250.00ns,0.00ns,249.00ns,19.00ns,240.00ns,4.93us
imported/rsc/anchored-literal-short-non-match,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,26,1000000,586.17ms,30.00ns,0.00ns,31.00ns,13.00ns,20.00ns,11.88us
imported/rsc/anchored-literal-short-non-match,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,26,1000000,553.95ms,30.00ns,0.00ns,31.00ns,13.00ns,20.00ns,10.58us
imported/rsc/anchored-literal-long-non-match,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,390,1000000,601.44ms,30.00ns,0.00ns,31.00ns,7.00ns,20.00ns,3.14us
imported/rsc/anchored-literal-long-non-match,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,390,1000000,535.84ms,30.00ns,0.00ns,31.00ns,10.00ns,20.00ns,6.54us
imported/rsc/anchored-literal-short-match,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,26,1000000,603.88ms,50.00ns,0.00ns,48.00ns,9.00ns,40.00ns,4.01us
imported/rsc/anchored-literal-short-match,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,26,1000000,603.89ms,50.00ns,0.00ns,47.00ns,11.00ns,40.00ns,3.75us
imported/rsc/anchored-literal-long-match,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,390,1000000,604.02ms,50.00ns,0.00ns,47.00ns,8.00ns,40.00ns,2.98us
imported/rsc/anchored-literal-long-match,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,390,1000000,602.84ms,50.00ns,0.00ns,47.00ns,9.00ns,40.00ns,3.65us
imported/rsc/one-pass-short,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,17,1000000,656.16ms,60.00ns,0.00ns,62.00ns,11.00ns,60.00ns,4.56us
imported/rsc/one-pass-short,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,17,1000000,607.53ms,60.00ns,0.00ns,62.00ns,14.00ns,60.00ns,10.83us
imported/rsc/one-pass-short-not,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,17,1000000,638.00ms,70.00ns,0.00ns,66.00ns,14.00ns,60.00ns,6.29us
imported/rsc/one-pass-short-not,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,17,1000000,756.02ms,70.00ns,0.00ns,66.00ns,11.00ns,60.00ns,3.43us
imported/rsc/one-pass-long-prefix,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,26,1000000,655.42ms,80.00ns,0.00ns,78.00ns,13.00ns,70.00ns,4.83us
imported/rsc/one-pass-long-prefix,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,26,1000000,654.88ms,80.00ns,0.00ns,76.00ns,14.00ns,70.00ns,4.14us
imported/rsc/one-pass-long-prefix-not,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,26,1000000,660.63ms,70.00ns,0.00ns,75.00ns,16.00ns,70.00ns,10.20us
imported/rsc/one-pass-long-prefix-not,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,26,1000000,709.38ms,80.00ns,0.00ns,77.00ns,14.00ns,70.00ns,3.96us
imported/rsc/long-needle1,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,100002,1000000,3.72s,1.71us,10.00ns,1.71us,61.00ns,1.68us,25.27us
imported/rsc/long-needle1,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,100002,1000000,3.67s,1.64us,30.00ns,1.65us,66.00ns,1.59us,10.73us
imported/rsc/long-needle2,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,100002,7807,4.51s,388.81us,4.42us,384.22us,11.78us,367.77us,412.96us
imported/rsc/long-needle2,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,100002,7699,4.51s,390.77us,1.59us,389.65us,7.03us,370.00us,414.68us
imported/rsc/easy0-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,58,1000000,555.94ms,30.00ns,0.00ns,35.00ns,196.00ns,30.00ns,105.07us
imported/rsc/easy0-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,58,1000000,537.63ms,40.00ns,0.00ns,36.00ns,148.00ns,30.00ns,104.66us
imported/rsc/easy0-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1050,1000000,611.87ms,50.00ns,0.00ns,53.00ns,13.00ns,40.00ns,4.77us
imported/rsc/easy0-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1050,1000000,604.77ms,50.00ns,0.00ns,52.00ns,13.00ns,40.00ns,5.07us
imported/rsc/easy0-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32794,1000000,1.69s,590.00ns,10.00ns,586.00ns,35.00ns,570.00ns,10.79us
imported/rsc/easy0-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32794,1000000,1.66s,570.00ns,0.00ns,574.00ns,38.00ns,550.00ns,6.29us
imported/rsc/easy0-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1048602,160600,4.62s,18.68us,440.00ns,18.62us,0.97us,17.50us,57.30us
imported/rsc/easy0-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1048602,177737,4.63s,16.69us,60.00ns,16.83us,726.00ns,16.40us,55.85us
imported/rsc/easy1-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,51,1000000,655.05ms,70.00ns,0.00ns,70.00ns,20.00ns,60.00ns,12.93us
imported/rsc/easy1-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,51,1000000,655.82ms,70.00ns,0.00ns,71.00ns,10.00ns,60.00ns,3.73us
imported/rsc/easy1-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1043,1000000,638.47ms,70.00ns,0.00ns,71.00ns,9.00ns,60.00ns,3.41us
imported/rsc/easy1-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1043,1000000,660.46ms,70.00ns,0.00ns,69.00ns,195.00ns,60.00ns,109.40us
imported/rsc/easy1-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32787,1000000,664.63ms,70.00ns,0.00ns,71.00ns,12.00ns,60.00ns,4.24us
imported/rsc/easy1-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32787,1000000,664.70ms,70.00ns,0.00ns,72.00ns,11.00ns,70.00ns,3.18us
imported/rsc/easy1-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1048595,1000000,655.32ms,70.00ns,0.00ns,70.00ns,12.00ns,60.00ns,4.20us
imported/rsc/easy1-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1048595,1000000,638.33ms,70.00ns,0.00ns,71.00ns,12.00ns,60.00ns,3.49us
imported/rsc/medium-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,59,1000000,655.42ms,80.00ns,0.00ns,81.00ns,14.00ns,70.00ns,3.86us
imported/rsc/medium-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,59,1000000,705.27ms,80.00ns,0.00ns,79.00ns,17.00ns,70.00ns,10.17us
imported/rsc/medium-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1051,1000000,656.55ms,80.00ns,0.00ns,81.00ns,13.00ns,70.00ns,3.71us
imported/rsc/medium-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1051,1000000,704.34ms,80.00ns,0.00ns,80.00ns,14.00ns,70.00ns,4.59us
imported/rsc/medium-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32795,1000000,654.85ms,80.00ns,0.00ns,80.00ns,13.00ns,70.00ns,6.56us
imported/rsc/medium-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32795,1000000,655.80ms,80.00ns,0.00ns,80.00ns,18.00ns,70.00ns,11.49us
imported/rsc/medium-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1048603,1000000,638.17ms,80.00ns,0.00ns,81.00ns,11.00ns,70.00ns,6.10us
imported/rsc/medium-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1048603,1000000,638.03ms,80.00ns,0.00ns,81.00ns,10.00ns,70.00ns,3.45us
imported/rsc/hard-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,58,1000000,738.81ms,130.00ns,0.00ns,131.00ns,12.00ns,120.00ns,2.90us
imported/rsc/hard-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,58,1000000,761.19ms,130.00ns,0.00ns,131.00ns,19.00ns,120.00ns,9.88us
imported/rsc/hard-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1050,1000000,638.33ms,80.00ns,0.00ns,81.00ns,14.00ns,70.00ns,4.23us
imported/rsc/hard-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1050,1000000,755.37ms,80.00ns,0.00ns,79.00ns,19.00ns,70.00ns,10.76us
imported/rsc/hard-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32794,1000000,705.52ms,80.00ns,0.00ns,82.00ns,14.00ns,80.00ns,5.14us
imported/rsc/hard-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32794,1000000,666.30ms,80.00ns,0.00ns,80.00ns,12.00ns,70.00ns,4.02us
imported/rsc/hard-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1048602,1000000,789.03ms,130.00ns,0.00ns,126.00ns,14.00ns,120.00ns,3.86us
imported/rsc/hard-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1048602,1000000,756.54ms,120.00ns,0.00ns,123.00ns,15.00ns,110.00ns,3.69us
imported/rsc/reallyhard0-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,58,1000000,888.98ms,200.00ns,0.00ns,196.00ns,20.00ns,190.00ns,4.15us
imported/rsc/reallyhard0-32,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,58,1000000,888.85ms,190.00ns,0.00ns,195.00ns,17.00ns,180.00ns,3.42us
imported/rsc/reallyhard0-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1050,1000000,759.06ms,120.00ns,0.00ns,120.00ns,16.00ns,110.00ns,7.56us
imported/rsc/reallyhard0-1k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,1050,1000000,754.98ms,120.00ns,0.00ns,119.00ns,12.00ns,110.00ns,3.20us
imported/rsc/reallyhard0-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32794,1000000,1.87s,660.00ns,10.00ns,669.00ns,418.00ns,640.00ns,102.91us
imported/rsc/reallyhard0-32k,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32794,1000000,1.76s,630.00ns,10.00ns,639.00ns,654.00ns,610.00ns,105.41us
imported/rsc/reallyhard0-1mb,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,1048602,157176,4.57s,19.03us,229.00ns,19.03us,770.00ns,18.35us,60.01us
